,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象
199,2021****86,17.0,2022/11/25 11:50,百味佳副食一组,2022-11-25,11:50,0,-5,6,"轻度（小）（弱） 雪, 轻雾"
200,2021****86,2.0,2022/11/24 17:50,学苑食堂副食三组,2022-11-24,17:50,0,0,4,轻度（小）（弱） 雪
201,2021****86,16.28,2022/11/24 17:16,美食林小猪憨尼麻辣烫,2022-11-24,17:16,0,0,4,轻度（小）（弱） 雪
202,2021****86,17.9,2022/11/24 11:49,百味佳副食一组,2022-11-24,11:49,0,0,4,轻度（小）（弱） 雪
203,2021****86,16.0,2022/11/23 17:42,学苑食堂副食三组,2022-11-23,17:42,0,-6,2,
204,2021****86,10.0,2022/11/23 11:37,民族餐厅山西饸饹面,2022-11-23,11:37,0,-6,2,
205,2021****86,4.45,2022/11/23 08:44,百味佳副食一组,2022-11-23,08:44,0,-6,2,
206,2021****86,12.43,2022/11/22 17:50,美食林小猪憨尼麻辣烫,2022-11-22,17:50,0,-6,2,
207,2021****86,12.4,2022/11/22 11:51,百味佳副食一组,2022-11-22,11:51,0,-6,2,
208,2021****86,4.25,2022/11/22 07:47,百味佳展销组,2022-11-22,07:47,0,-6,2,
209,2021****86,10.0,2022/11/21 17:33,美食林真牛铁板,2022-11-21,17:33,0,-4,3,
210,2021****86,50.9,2022/11/21 11:47,百味佳副食一组,2022-11-21,11:47,0,-4,3,
211,2021****86,11.0,2022/11/18 17:48,学苑食堂副食三组,2022-11-18,17:48,0,-2,2,
212,2021****86,12.0,2022/11/18 11:26,美食林90后串炒饭,2022-11-18,11:26,0,-2,2,
213,2021****86,5.1,2022/11/18 08:01,百味佳副食一组,2022-11-18,08:01,0,-2,2,
214,2021****86,16.0,2022/11/17 11:50,阳光广式猪脚饭,2022-11-17,11:50,0,-1,4,烟
215,2021****86,3.35,2022/11/17 08:48,百味佳副食一组,2022-11-17,08:48,0,-1,4,烟
216,2021****86,12.0,2022/11/16 17:57,民族餐厅金家店,2022-11-16,17:57,0,-5,2,轻雾
217,2021****86,10.0,2022/11/16 11:23,美食林陕西刀削面(罐罐面),2022-11-16,11:23,0,-5,2,轻雾
218,2021****86,16.0,2022/11/15 16:37,阳光广式猪脚饭,2022-11-15,16:37,0,-6,2,霾
219,2021****86,12.9,2022/11/15 12:04,百味佳副食一组,2022-11-15,12:04,0,-6,2,霾
220,2021****86,10.0,2022/11/14 17:45,美食林真牛铁板,2022-11-14,17:45,0,-6,2,霾
221,2021****86,14.600000000000001,2022/11/14 11:52,百味佳副食一组,2022-11-14,11:52,0,-6,2,霾
222,2021****86,13.0,2022/11/13 17:15,美食林陕西刀削面(罐罐面),2022-11-13,17:15,1,-6,4,
223,2021****86,4.1,2022/11/13 08:20,百味佳副食一组,2022-11-13,08:20,1,-6,4,
224,2021****86,13.62,2022/11/12 17:02,美食林小猪憨尼麻辣烫,2022-11-12,17:02,1,-2,6,
225,2021****86,12.0,2022/11/12 11:53,阳光川蜀源烤鱼,2022-11-12,11:53,1,-2,6,
226,2021****86,5.0,2022/11/12 08:29,百味佳副食一组,2022-11-12,08:29,1,-2,6,
227,2021****86,20.0,2022/11/11 17:44,学苑食堂副食三组,2022-11-11,17:44,0,7,6,轻雾
228,2021****86,33.75,2022/11/11 11:35,百味佳副食一组,2022-11-11,11:35,0,7,6,轻雾
229,2021****86,10.0,2022/11/09 17:34,学苑食堂副食三组,2022-11-09,17:34,0,2,0,烟
230,2021****86,13.0,2022/11/09 11:32,民族餐厅铁板料理,2022-11-09,11:32,0,2,0,烟
231,2021****86,5.2,2022/11/09 07:48,友来副食一组,2022-11-09,07:48,0,2,0,烟
232,2021****86,10.0,2022/11/08 17:34,学苑食堂副食三组,2022-11-08,17:34,0,6,5,
233,2021****86,10.0,2022/11/08 11:47,美食林真牛铁板,2022-11-08,11:47,0,6,5,
234,2021****86,2.85,2022/11/08 07:35,百味佳副食一组,2022-11-08,07:35,0,6,5,
235,2021****86,12.0,2022/11/07 17:41,美食林90后串炒饭,2022-11-07,17:41,0,-1,4,
236,2021****86,2.85,2022/11/07 07:27,百味佳副食一组,2022-11-07,07:27,0,-1,4,
237,2021****86,15.0,2022/11/06 18:13,美食林90后串炒饭,2022-11-06,18:13,1,1,1,
238,2021****86,15.399999999999999,2022/11/06 11:48,百味佳副食一组,2022-11-06,11:48,1,1,1,
239,2021****86,10.0,2022/11/05 18:02,美食林陕西刀削面(罐罐面),2022-11-05,18:02,1,-2,2,
240,2021****86,2.85,2022/11/05 08:04,百味佳副食一组,2022-11-05,08:04,1,-2,2,
241,2021****86,13.0,2022/11/04 17:46,美食林陕西刀削面(罐罐面),2022-11-04,17:46,0,-4,2,
242,2021****86,11.5,2022/11/04 11:22,美食林真牛铁板,2022-11-04,11:22,0,-4,2,
243,2021****86,3.85,2022/11/04 07:46,友来副食一组,2022-11-04,07:46,0,-4,2,
244,2021****86,12.2,2022/11/03 11:40,百味佳副食一组,2022-11-03,11:40,0,-6,4,
245,2021****86,4.95,2022/11/03 08:17,友来副食一组,2022-11-03,08:17,0,-6,4,
246,2021****86,14.0,2022/11/02 17:45,学苑食堂铁锅焖面,2022-11-02,17:45,0,-4,3,
247,2021****86,18.0,2022/11/02 11:24,美食林真牛铁板,2022-11-02,11:24,0,-4,3,
248,2021****86,4.95,2022/11/02 07:37,友来副食一组,2022-11-02,07:37,0,-4,3,
249,2021****86,12.2,2022/11/01 17:41,百味佳主食二组,2022-11-01,17:41,0,-1,4,
250,2021****86,11.8,2022/10/31 17:32,阳光小是小简餐,2022-10-31,17:32,0,5,5,
251,2021****86,4.95,2022/10/31 07:38,友来副食一组,2022-10-31,07:38,0,5,5,
252,2021****86,15.0,2022/10/30 17:49,阳光川蜀源烤鱼,2022-10-30,17:49,1,8,4,轻度（小）（弱） 雨
253,2021****86,15.0,2022/10/30 11:56,民族餐厅金家店,2022-10-30,11:56,1,8,4,轻度（小）（弱） 雨
254,2021****86,4.95,2022/10/30 08:10,友来副食一组,2022-10-30,08:10,1,8,4,轻度（小）（弱） 雨
255,2021****86,12.0,2022/10/29 16:59,美食林90后串炒饭,2022-10-29,16:59,1,-2,1,
256,2021****86,3.85,2022/10/29 08:31,友来副食一组,2022-10-29,08:31,1,-2,1,
257,2021****86,15.0,2022/10/28 17:34,美食林真牛铁板,2022-10-28,17:34,0,-2,1,
